,ID,Age in Months,Sex,Year Group,BPVS Raw Score,BPVS Standard Score ,Matrices Raw Score,Matrices Standard Score,Graded Spelling Raw Score,PONTO Score,Reading Task Raw Score,Reading Task Trials Attempted out of 68,rs%
,JS01,100,Male,3,132,,37,,31,254,65,68,95.58823529
,CL02,92,Male,3,122,,32,,14,252.6,25,31,80.64516129
,LH03,127,Female,6,137,,35,,32,254.4,60,65,92.30769231
,FB04,126,Female,6,132,,39,,37,254.8,65,68,95.58823529
,SM05,131,Female,6,131,,24,,32,252.2,56,61,91.80327869
,AW06,127,Female,6,136,,43,,34,254.4,67,68,98.52941176
,ZO07,,Female,2,106,,37,,29,256.8,41,42,97.61904762
,JS08,,Male,2,95,,23,,15,244.6,11,21,52.38095238
,SC09,,Male,4,122,,33,,25,253.8,37,40,92.5
,MC10,,Male,4,117,,26,,17,255.8,34,38,89.47368421
,CI11,,Male,4,109,,34,,34,256.4,58,61,95.08196721
,AH12,,Male,4,129,,34,,27,256.6,49,54,90.74074074
,JB13,,Male,4,126,,37,,36,254.8,55,56,98.21428571
stdev,,do dob,,,12.71834935,#DIV/0!,5.909575021,#DIV/0!,7.931598604,3.145774537,17.22624712,,
mean,,,,,122.6153846,#DIV/0!,33.38461538,#DIV/0!,27.92307692,253.9384615,47.92307692,,
,,,,,,,,,,,,,
DATA DISTRIBUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,
BPVS DATA DISTRIBUTION,,,,,,,,,,,,,
NORM DIST,,,,,,,,MATRICES DATA DISTRIBUTION,,,,,
0.769706308,0.014954154,,,,,,,,,,,,
0.480704479,0.095706505,,,,,,,,,,,,
0.870975139,0.142190228,,,,,,,,,,,,
0.769706308,0.32941889,,,,,,,,,,,,
0.745133478,0.480704479,,,,,,,,,,,,
0.853688802,0.480704479,,,,,,,,,,,,
0.095706505,0.604926854,,,,,,,,,,,,
0.014954154,0.69216635,,,,,,,,,,,,
0.480704479,0.745133478,,,,,,,,,,,,
0.32941889,0.769706308,,,,,,,,,,,,
0.142190228,0.769706308,,,,,,,,,,,,
0.69216635,0.853688802,,,,,,,,,,,,
0.604926854,0.870975139,,,,,,,,,,,,
